dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,0.25,22,300,287.0777282714844,0.1204007938504219,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.25,23,300,287.178466796875,0.1203738898038864,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.25,24,300,287.1649169921875,0.1205833703279495,0.9399005874378672
mmlu-pro,0.0,1e-05,0.025,0.25,25,300,286.5896911621094,0.1202409788966178,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,26,300,287.1011962890625,0.1205404326319694,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.25,27,300,287.5797424316406,0.1207090839743614,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.25,28,300,286.9078063964844,0.1203950271010398,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.25,29,300,287.44146728515625,0.1203618794679641,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.25,30,300,287.0243835449219,0.1205139681696891,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,0.25,31,300,286.9760437011719,0.1203370690345764,0.9448712155445096
mmlu-pro,0.0,1e-05,0.025,0.25,32,300,287.3176574707031,0.1204059198498725,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.25,33,300,287.3434143066406,0.1204944401979446,0.9444193402620876
mmlu-pro,0.0,1e-05,0.025,0.25,34,300,287.49163818359375,0.1205779239535331,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,0.25,35,300,287.1039123535156,0.1206411644816398,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,36,300,287.51287841796875,0.1204049810767173,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,0.25,37,300,287.3041076660156,0.1207512244582176,0.9403524627202892
mmlu-pro,0.0,1e-05,0.025,0.25,38,300,287.0388488769531,0.1203474774956703,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.25,39,300,287.1712646484375,0.1204026639461517,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.25,40,300,287.1025695800781,0.1201947554945945,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,0.25,41,300,287.2372131347656,0.1203805208206176,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,42,300,287.54766845703125,0.1206521838903427,0.9502937189335744
mmlu-pro,0.0,1e-05,0.025,0.25,43,300,287.1305847167969,0.1204467937350273,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.25,44,300,286.9986267089844,0.1205157190561294,0.9584274740171712
mmlu-pro,0.0,1e-05,0.025,0.25,45,300,286.7528076171875,0.120353102684021,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,46,300,287.3230895996094,0.1202186271548271,0.9579755987347492
mmlu-pro,0.0,1e-05,0.025,0.25,47,300,287.3479309082031,0.1208037361502647,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.25,48,300,286.9692687988281,0.1200692504644393,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.25,49,300,287.62811279296875,0.1208337917923927,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,50,300,286.6949768066406,0.1198509782552719,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,51,300,287.06280517578125,0.1203341856598854,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.25,52,300,287.0379638671875,0.1198715940117836,0.9421599638499776
mmlu-pro,0.0,1e-05,0.025,0.25,53,300,287.4084777832031,0.1205797865986824,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.25,54,300,286.7406005859375,0.1200727671384811,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.25,55,300,287.5069885253906,0.1204451248049736,0.9421599638499776
mmlu-pro,0.0,1e-05,0.025,0.25,56,300,287.19476318359375,0.1203920766711235,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,57,300,287.2919006347656,0.120360217988491,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,0.25,58,300,287.0871887207031,0.1205341145396232,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,59,300,286.86444091796875,0.1204423010349273,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.25,60,300,286.99365234375,0.1200588792562484,0.9502937189335744
